idx,time,number,sdvr,bs1,bs2,s1s2
109,437,10,0.854282335,0.520249819,-0.168560512,0.351689307
64,346,10,0.688186933,0.038933151,0.011957934,0.050891084
71,425,8,0.057451523,-0.0028123,0.002663357,-0.000148943
94,321,7,0.66212294,-0.064081746,0.154176233,0.090094487
51,225,7,0.615468235,0.052624445,-0.049281411,0.003343033
78,278,7,0.590667846,0.294208571,-0.241605497,0.052603074
124,338,6,0.654355175,-0.069246717,0.078614572,0.009367855
62,246,6,0.620971626,0.122416973,-0.048746205,0.073670768
61,339,6,0.531787548,0.038776075,0.027475408,0.066251483
74,293,6,0.429030226,0.282149308,-0.14155873,0.140590577
92,415,6,0.422598571,-0.008889237,0.007855558,-0.001033679
47,394,6,0.364460689,-0.038112492,0.042694601,0.004582109
50,246,6,0.314317673,0.105972006,-0.016385818,0.089586188
126,377,6,0.119840481,0.007295242,0.045734019,0.053029261
5,174,5,0.797714286,0.359625814,-0.071672302,0.287953512
96,265,5,0.494566545,0.194198398,-0.055856713,0.138341685
29,243,5,0.441893069,0.145614507,-0.064849081,0.080765426
22,251,5,0.437683284,0.331571344,-0.26993173,0.061639615
82,301,5,0.417452057,0.070116728,0.024202205,0.094318933
58,313,5,0.081150084,1.45752E-05,-2.32341E-05,-8.65889E-06
67,295,5,0.054465432,-0.001045237,0.011323598,0.010278361
70,232,5,0,-1.09726E-07,4.21424E-07,3.11699E-07
127,185,4,0.959935897,0.008455624,-0.006832933,0.001622691
147,167,4,0.70718126,-0.325949339,0.268018379,-0.05793096
81,237,4,0.683889498,-0.198116448,0.127836846,-0.070279602
122,270,4,0.603179304,0.197762279,-0.069922845,0.127839434
60,169,4,0.537737092,-0.157399531,0.038446961,-0.11895257
52,182,4,0.52193426,0.445153479,0.104697472,0.54985095
63,179,4,0.514384236,0.027832397,0.037952373,0.06578477
93,340,4,0.497959924,-0.290398742,0.189891138,-0.100507603
144,147,4,0.494863014,0.363330431,-0.298707107,0.064623324
24,269,4,0.493242593,-0.071205968,0.170845242,0.099639274
116,255,4,0.484026791,-0.01640773,0.157422493,0.141014762
114,271,4,0.357613722,-0.00937847,0.008788089,-0.000590381
65,215,4,0.076630435,-0.107294626,0.083956063,-0.023338562
90,363,4,0.049362245,-8.26793E-05,0.000120246,3.75663E-05
28,279,4,0.029014727,-6.09644E-08,2.01663E-07,1.40698E-07
84,313,4,0.026760406,-1.11643E-05,1.96942E-05,8.52987E-06
26,179,4,0.006097561,-1.55086E-10,1.51213E-09,1.35705E-09
30,380,4,0,-5.79814E-14,1.10298E-12,1.045E-12
141,145,3,0.704639739,0.492135555,-0.247411293,0.244724261
86,181,3,0.664835165,-0.229940041,0.110337877,-0.119602164
49,178,3,0.536372203,0.00572425,-0.009608997,-0.003884747
34,144,3,0.494172494,0.148018169,-0.062848115,0.085170054
25,202,3,0.255590195,-0.036962797,0.026382616,-0.010580181
76,287,3,0.131982293,0.058518183,0.022221309,0.080739492
57,241,3,0.124337521,0.238756256,0.076449975,0.315206231
31,331,3,0.120074956,-0.176208914,0.161530754,-0.01467816
19,384,3,0.085851852,2.0647E-05,-3.43293E-05,-1.36824E-05
44,295,3,0.07958097,0.000159411,-0.000213912,-5.45014E-05
54,240,3,0.077118472,-2.13242E-06,4.5127E-06,2.38028E-06
20,270,3,0.038694857,-0.000169115,0.000226257,5.71417E-05
101,241,3,0.020985057,1.13797E-10,1.02794E-08,1.03932E-08
118,198,3,0,0,-9.99201E-16,-9.99201E-16
12,213,3,0,-2.0086E-11,2.73863E-10,2.53777E-10
35,182,3,0,1.3403E-10,-1.17665E-09,-1.04261E-09
45,226,3,0,0,2.9976E-15,2.9976E-15
48,266,3,0,-3.57938E-08,1.15154E-07,7.93603E-08
72,237,3,0,4.996E-15,-8.79297E-14,-8.29337E-14
80,289,3,0,1.4505E-11,-9.9902E-11,-8.5397E-11
9,202,3,0,3.02997E-12,-2.9337E-11,-2.6307E-11
46,199,2,0.14484127,4.95735E-05,-8.22249E-05,-3.26514E-05
15,133,2,0.12734261,0.127750259,-0.054258676,0.073491583
13,280,2,0.12402439,0.000706098,-0.000662591,4.35067E-05
32,159,2,0.095545278,-0.017244248,0.024203417,0.006959169
69,163,2,0.093042639,-0.007101698,0.006412527,-0.000689171
75,147,2,0.041130604,-2.73803E-06,5.5875E-06,2.84947E-06
1,137,2,0,-1.44689E-10,9.66153E-10,8.21464E-10
10,171,2,0,-4.996E-15,1.3195E-13,1.26954E-13
11,165,2,0,-4.84105E-06,1.03473E-05,5.50621E-06
14,146,2,0,-1.06998E-12,1.6565E-11,1.5495E-11
16,162,2,0,-1.1589E-11,1.26322E-10,1.14733E-10
17,268,2,0,0,0,0
2,187,2,0,0,1.9984E-15,1.9984E-15
21,155,2,0,9.99201E-16,-3.59712E-14,-3.4972E-14
23,109,2,0,0,0,0
27,166,2,0,0,-9.99201E-16,-9.99201E-16
3,189,2,0,-9.582E-12,3.5955E-11,2.6373E-11
33,154,2,0,8.80407E-14,-2.12008E-12,-2.03204E-12
4,123,2,0,-2.9976E-15,6.80012E-14,6.50036E-14
55,173,2,0,-4.25642E-10,3.01311E-09,2.58746E-09
56,189,2,0,-1.06681E-08,4.04363E-08,2.97682E-08
7,195,2,0,-9.89603E-12,9.7683E-11,8.7787E-11
8,156,2,0,8.99281E-15,-2.59959E-13,-2.50966E-13
