idx,time,number,sdvr,bs1,bs2,s1s2
109,437,10,0.854282335,32.11619219,-17.1525351,14.9636571
64,346,10,0.688186933,11.62868172,-10.34126549,1.28741623
71,425,8,0.057451523,0.215297698,-0.203970675,0.011327023
94,321,7,0.66212294,4.427830023,-4.714158732,-0.286328708
51,225,7,0.615468235,18.71586755,-15.05753162,3.658335927
78,278,7,0.590667846,75.09008828,-72.66116078,2.428927497
124,338,6,0.654355175,5.757695222,-5.795934186,-0.038238964
62,246,6,0.620971626,6.866954338,-3.310030182,3.556924156
61,339,6,0.531787548,-23.18954833,27.91516859,4.725620263
74,293,6,0.429030226,79.78618575,-55.6070134,24.17917235
92,415,6,0.422598571,1.466985004,-1.566787902,-0.099802898
47,394,6,0.364460689,16.81402898,-11.15256677,5.66146221
50,246,6,0.314317673,9.68539713,-6.357250512,3.328146618
126,377,6,0.119840481,5.779108269,5.636845635,11.4159539
5,174,5,0.797714286,20.15204093,-16.22635334,3.925687594
96,265,5,0.494566545,18.96091304,-10.15543895,8.805474094
29,243,5,0.441893069,24.29265705,-13.62804158,10.66461547
22,251,5,0.437683284,43.03024616,-33.83486917,9.195376995
82,301,5,0.417452057,14.77923693,-11.46399076,3.315246173
58,313,5,0.081150084,0.002513205,-0.003917884,-0.001404679
67,295,5,0.054465432,-1.177009936,1.800580688,0.623570751
70,232,5,0,4.244E-06,-1.59687E-05,-1.17247E-05
127,185,4,0.959935897,4.526845703,-4.010602353,0.51624335
147,167,4,0.70718126,2.63841502,-0.985775301,1.652639719
81,237,4,0.683889498,14.42669386,-12.89303526,1.533658603
122,270,4,0.603179304,14.00914952,-11.99465212,2.014497399
60,169,4,0.537737092,20.07087967,-20.79264551,-0.721765842
52,182,4,0.52193426,45.24036445,0.059028626,45.29939308
63,179,4,0.514384236,11.86095292,-4.610500602,7.250452319
93,340,4,0.497959924,10.70027997,-3.213733128,7.486546842
144,147,4,0.494863014,16.88485188,-12.84033199,4.044519883
24,269,4,0.493242593,1.384848594,1.059821874,2.444670469
116,255,4,0.484026791,-2.803333148,7.4486558,4.645322652
114,271,4,0.357613722,-0.958146011,0.980070629,0.021924618
65,215,4,0.076630435,-0.665557628,0.295799068,-0.36975856
90,363,4,0.049362245,0.029857259,-0.043710564,-0.013853305
28,279,4,0.029014727,-3.58882E-05,0.000109487,7.3599E-05
84,313,4,0.026760406,-0.001694122,0.002719195,0.001025073
26,179,4,0.006097561,-1.22601E-10,1.0845E-09,9.61901E-10
30,380,4,0,-9.49996E-12,1.8E-10,1.705E-10
141,145,3,0.704639739,59.56094847,-52.08488493,7.476063539
86,181,3,0.664835165,8.151516743,-5.5518676,2.599649143
49,178,3,0.536372203,-0.09939371,-0.110609391,-0.210003102
34,144,3,0.494172494,17.34429001,-12.99144204,4.352847973
25,202,3,0.255590195,-0.903193805,1.968230861,1.065037057
76,287,3,0.131982293,3.28138826,3.203599608,6.484987868
57,241,3,0.124337521,27.61716137,9.976621982,37.59378335
31,331,3,0.120074956,-7.330070911,6.426671682,-0.903399229
19,384,3,0.085851852,0.006564676,-0.011026677,-0.004462002
44,295,3,0.07958097,0.024641713,-0.028702997,-0.004061285
54,240,3,0.077118472,0.000275449,-0.00057591,-0.000300461
20,270,3,0.038694857,-0.016600281,0.02190509,0.00530481
101,241,3,0.020985057,2.05539E-05,-7.43418E-05,-5.37879E-05
118,198,3,0,0,9.9476E-14,9.9476E-14
12,213,3,0,-8.37799E-10,1.04489E-08,9.6111E-09
35,182,3,0,3.9655E-09,-3.6622E-08,-3.26565E-08
45,226,3,0,0,7.99361E-13,7.99361E-13
48,266,3,0,-1.19116E-05,3.64429E-05,2.45313E-05
72,237,3,0,7.29727E-12,-1.614E-10,-1.54103E-10
80,289,3,0,-2.02304E-08,1.57717E-07,1.37487E-07
9,202,3,0,2.2065E-09,-2.24381E-08,-2.02316E-08
46,199,2,0.14484127,0.00873132,-0.014540738,-0.005809418
15,133,2,0.12734261,14.0769638,-10.91369665,3.163267152
13,280,2,0.12402439,0.673778547,-0.655837046,0.017941501
32,159,2,0.095545278,4.764885163,-2.519238602,2.24564656
69,163,2,0.093042639,-1.314606354,1.189710327,-0.124896028
75,147,2,0.041130604,-0.000393053,0.000772844,0.000379791
1,137,2,0,-7.93971E-08,5.54839E-07,4.75442E-07
10,171,2,0,1.30029E-12,-3.41984E-11,-3.28981E-11
11,165,2,0,-0.000796625,0.001659652,0.000863027
14,146,2,0,-1.98987E-11,3.07299E-10,2.874E-10
16,162,2,0,-3.8028E-09,4.10998E-08,3.7297E-08
17,268,2,0,0,0,0
2,187,2,0,0,3.05533E-13,3.05533E-13
21,155,2,0,1.98952E-13,-8.00071E-12,-7.80176E-12
23,109,2,0,0,0,0
27,166,2,0,0,-9.9476E-14,-9.9476E-14
3,189,2,0,-7.29003E-10,3.79531E-09,3.0663E-09
33,154,2,0,-9.98313E-13,2.32987E-11,2.23004E-11
4,123,2,0,-4.9738E-13,1.32019E-11,1.27045E-11
55,173,2,0,-1.26492E-07,8.8841E-07,7.61917E-07
56,189,2,0,-8.37439E-06,2.93742E-05,2.09999E-05
7,195,2,0,-2.56E-09,2.3566E-08,2.1006E-08
8,156,2,0,1.20082E-12,-3.52998E-11,-3.40989E-11
