idx,time,number,sdvr,basic,social_1,social_2
109,437,10,0.854282335,67.89238926,35.77619707,52.92873216
64,346,10,0.688186933,28.17868634,16.55000462,26.89127011
71,425,8,0.057451523,24.27444349,24.05914579,24.26311646
94,321,7,0.66212294,60.56658294,56.13875291,60.85291165
51,225,7,0.615468235,36.42338919,17.70752164,32.76505326
78,278,7,0.590667846,120.1651767,45.07508843,117.7362492
124,338,6,0.654355175,23.86931155,18.11161633,23.90755052
62,246,6,0.620971626,49.87152304,43.00456871,46.31459889
61,339,6,0.531787548,98.9581598,122.1477081,94.23253954
74,293,6,0.429030226,126.0054865,46.21930072,101.8263141
92,415,6,0.422598571,104.1093887,102.6424037,104.2091916
47,394,6,0.364460689,48.41972917,31.60570018,42.75826696
50,246,6,0.314317673,32.15043757,22.46504044,28.82229095
126,377,6,0.119840481,84.10867322,78.32956495,72.69271931
5,174,5,0.797714286,30.70770254,10.5556616,26.78201494
96,265,5,0.494566545,49.92860671,30.96769367,41.12313262
29,243,5,0.441893069,51.34794629,27.05528924,40.68333082
22,251,5,0.437683284,108.3324599,65.30221376,99.13708293
82,301,5,0.417452057,55.05363124,40.2743943,51.73838506
58,313,5,0.081150084,28.96035327,28.95784007,28.96175795
67,295,5,0.054465432,21.12134374,22.29835368,20.49777299
70,232,5,0,18.71290968,18.71290543,18.7129214
127,185,4,0.959935897,166.7070852,162.1802395,166.1908418
147,167,4,0.70718126,38.83452188,36.19610686,37.18188216
81,237,4,0.683889498,81.82875637,67.40206251,80.29509777
122,270,4,0.603179304,45.75164182,31.7424923,43.73714442
60,169,4,0.537737092,36.13010449,16.05922482,36.85187033
52,182,4,0.52193426,69.51329962,24.27293516,24.21390654
63,179,4,0.514384236,88.67218712,76.8112342,81.42173481
93,340,4,0.497959924,50.82641282,40.12613285,43.33986598
144,147,4,0.494863014,43.64962939,26.76477752,39.60510951
24,269,4,0.493242593,47.10667638,45.72182779,44.66200592
116,255,4,0.484026791,53.44307237,56.24640552,48.79774972
114,271,4,0.357613722,82.88025225,83.83839826,82.85832763
65,215,4,0.076630435,24.62046761,25.28602523,24.99022617
90,363,4,0.049362245,63.20792608,63.17806882,63.22177938
28,279,4,0.029014727,37.60016689,37.60020278,37.60009329
84,313,4,0.026760406,46.01750595,46.01920008,46.01648088
26,179,4,0.006097561,26.41355018,26.41355018,26.41355018
30,380,4,0,13.30495094,13.30495094,13.30495094
141,145,3,0.704639739,96.52431398,36.96336552,89.04825045
86,181,3,0.664835165,74.56685834,66.4153416,71.9672092
49,178,3,0.536372203,29.64589221,29.74528592,29.85589531
34,144,3,0.494172494,38.27816064,20.93387063,33.92531267
25,202,3,0.255590195,37.54541166,38.44860546,36.4803746
76,287,3,0.131982293,36.30432894,33.02294068,29.81934107
57,241,3,0.124337521,95.84656872,68.22940735,58.25278536
31,331,3,0.120074956,34.10153099,41.4316019,35.00493022
19,384,3,0.085851852,25.90002638,25.89346171,25.90448838
44,295,3,0.07958097,30.16417058,30.13952887,30.16823187
54,240,3,0.077118472,17.57820349,17.57792804,17.57850395
20,270,3,0.038694857,27.33000036,27.34660064,27.32469555
101,241,3,0.020985057,40.9621307,40.96211015,40.96218449
118,198,3,0,46.54774788,46.54774788,46.54774788
12,213,3,0,14.6869885,14.6869885,14.68698849
35,182,3,0,32.55846817,32.55846817,32.5584682
45,226,3,0,29.85880667,29.85880667,29.85880667
48,266,3,0,32.62153639,32.6215483,32.62151186
72,237,3,0,20.90535557,20.90535557,20.90535557
80,289,3,0,18.13858172,18.13858174,18.13858158
9,202,3,0,12.7817879,12.78178789,12.78178792
46,199,2,0.14484127,32.90693225,32.89820093,32.91274167
15,133,2,0.12734261,35.42284009,21.3458763,32.25957294
13,280,2,0.12402439,32.31871696,31.64493841,32.30077546
32,159,2,0.095545278,60.66197422,55.89708906,58.41632766
69,163,2,0.093042639,29.84778846,31.16239481,29.97268448
75,147,2,0.041130604,27.88792599,27.88831904,27.8875462
1,137,2,0,15.10688848,15.10688856,15.10688801
10,171,2,0,18.14594923,18.14594923,18.14594923
11,165,2,0,23.08770536,23.08850199,23.08684234
14,146,2,0,18.85525912,18.85525912,18.85525912
16,162,2,0,19.12614616,19.12614617,19.12614613
17,268,2,0,28.28955029,28.28955029,28.28955029
2,187,2,0,54.93414996,54.93414996,54.93414996
21,155,2,0,40.61481915,40.61481915,40.61481915
23,109,2,0,25.14005025,25.14005025,25.14005025
27,166,2,0,22.11664809,22.11664809,22.11664809
3,189,2,0,94.28011218,94.28011218,94.28011218
33,154,2,0,24.09258763,24.09258763,24.09258763
4,123,2,0,32.00912715,32.00912715,32.00912715
55,173,2,0,19.33879211,19.33879224,19.33879135
56,189,2,0,13.80103868,13.80104706,13.80101769
7,195,2,0,15.15112352,15.15112353,15.1511235
8,156,2,0,34.30209722,34.30209722,34.30209722
